,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
86418,jacksda02,6.2,8,8,4,4,3,4,1,3.12,31,104,63,39,11,13,16,8,4,0,43,-0.057,0.89,-0.8,1994-06-07,1.0,1962-01-05,10230,0.0
41977,bergmse01,4.0,6,6,3,3,2,3,0,5.04,18,64,35,21,6,8,2,10,7,0,39,-0.09,1.37,-0.7,1995-09-19,1.0,1970-04-11,8028,0.0
112651,waechdo01,6.0,8,8,4,4,1,6,3,5.03,27,102,68,41,10,17,5,15,6,0,45,-0.075,1.19,-0.9,2005-08-22,1.0,1981-01-28,7751,0.0
80716,youngch03,7.0,5,5,3,3,0,3,2,3.41,25,81,57,29,7,21,6,16,4,0,58,-0.158,1.06,0.2,2012-07-04,1.0,1979-05-25,10449,0.0
78090,wilsopa02,8.0,3,3,0,0,0,8,0,6.2,28,99,72,43,15,14,9,9,4,0,84,0.548,1.15,4.0,1996-05-30,1.0,1973-03-28,7312,0.0
51562,latosma01,8.0,2,2,0,0,0,9,0,4.19,26,107,68,33,10,25,11,6,1,0,87,0.23,0.41,3.8,2010-05-07,1.0,1987-12-09,7071,0.0
63563,bereja01,8.0,7,7,1,1,2,3,1,4.47,33,112,74,47,13,14,11,17,5,0,65,0.243,0.54,3.4,2000-05-22,1.0,1971-05-26,9148,0.0
94811,eilanda01,7.0,7,7,1,0,1,2,0,4.3,27,85,54,39,9,6,16,8,2,0,62,0.241,1.28,2.6,1993-05-18,1.0,1966-07-05,8479,0.0
114945,pavliro01,3.1,10,10,6,6,1,4,1,4.53,21,81,48,25,11,12,7,8,3,0,19,-0.394,1.28,-4.3,1992-09-26,1.0,1967-10-04,7883,0.0
46513,smithch07,4.0,5,5,4,4,5,3,0,3.67,22,79,45,21,8,16,7,7,5,0,34,-0.21,1.06,-1.9,2000-07-21,1.0,1969-10-21,9703,0.0
92532,wellski01,6.2,6,6,1,0,4,2,0,5.09,29,100,56,38,7,11,9,13,8,0,58,0.244,1.4,2.0,2005-10-01,1.0,1977-04-21,8976,0.0
90427,castifr01,6.2,4,4,1,1,4,6,0,3.1,28,103,62,27,14,21,8,10,2,0,64,0.157,1.66,1.3,1992-07-19,1.0,1969-04-01,7352,0.0
22637,chacosh01,8.0,4,4,0,0,3,5,0,3.32,31,127,78,51,8,19,9,14,3,0,76,0.338,0.9,4.3,2005-08-20,1.0,1977-12-23,8728,0.0
56510,duffyda01,5.2,5,5,3,3,3,4,0,3.26,24,100,60,43,5,12,7,10,4,0,48,-0.102,0.94,-0.3,2014-06-07,1.0,1988-12-21,8034,0.0
85509,grayso01,7.0,9,9,2,2,2,3,1,2.3,30,103,67,44,9,14,13,12,8,0,52,0.178,1.18,1.4,2015-07-22,1.0,1989-11-07,8111,0.0
13699,sabatc.01,7.2,11,11,3,3,2,5,1,3.12,34,111,72,39,10,23,14,13,4,0,48,0.12,0.56,0.4,2010-04-28,1.0,1980-07-21,9394,0.0
48910,cormirh01,2.1,7,7,4,3,0,1,1,4.5,12,-1,-1,-1,-1,-1,4,6,5,1,30,-0.218,0.84,-2.5,1993-07-03,1.0,1967-04-23,8266,0.0
76112,hernafe02,9.0,2,2,0,0,3,11,0,3.03,32,115,76,43,13,20,6,12,3,0,91,0.348,0.71,4.7,2010-06-30,1.0,1986-04-08,7645,0.0
75145,liebejo01,6.2,6,6,3,3,1,6,0,4.97,26,109,77,52,13,12,11,8,4,0,55,0.133,0.32,0.6,2004-07-05,1.0,1970-04-02,10811,0.0
116103,helliri01,6.0,7,7,5,5,1,1,1,4.11,26,84,56,39,6,11,8,16,6,0,38,-0.151,1.0,-0.7,2000-06-23,1.0,1970-12-15,9316,0.0
31893,vanderi01,6.0,4,4,1,1,2,3,0,4.24,24,92,55,38,5,12,5,14,7,0,61,0.169,0.81,2.0,2009-09-18,1.0,1985-05-22,7676,0.0
40769,friasca01,0.2,10,10,8,8,0,0,1,6.58,11,38,25,23,1,1,5,6,5,0,0,-0.393,0.76,-6.3,2014-09-17,1.0,1989-11-13,7839,0.0
66992,bonesri01,5.0,8,8,5,4,2,2,0,3.48,25,99,59,33,5,20,8,13,9,0,33,-0.068,0.84,-2.1,1994-07-15,1.0,1969-04-07,7974,0.0
113569,shielja02,9.0,4,4,1,0,0,10,0,2.4,32,110,79,46,15,18,7,15,1,0,87,0.565,1.38,3.2,2011-06-19,1.0,1981-12-20,9307,0.0
87093,spencst02,6.0,5,5,1,1,1,7,0,1.5,24,105,64,39,11,14,2,13,6,0,64,0.213,0.98,2.1,1998-08-27,1.0,1969-08-07,9168,0.0
81855,gordoto01,5.0,2,2,2,1,5,6,0,4.2,20,92,51,24,11,16,6,3,1,0,58,-0.031,1.17,0.3,1992-08-08,1.0,1967-11-18,7801,0.0
72106,johnsra05,8.0,5,5,2,1,0,12,1,0.97,28,104,76,36,23,17,7,10,4,0,78,0.185,0.77,2.6,2000-05-16,1.0,1963-09-10,11575,0.0
106929,peavyja01,6.0,4,4,0,0,0,3,0,4.12,21,91,60,42,6,12,8,10,5,0,67,0.34,1.07,2.7,2015-07-29,1.0,1981-05-31,10780,0.0
9307,lowede01,7.1,5,5,2,2,2,2,0,3.45,28,97,59,38,3,18,18,6,1,0,60,0.259,1.11,1.7,2009-05-23,1.0,1973-06-01,11352,0.0
19539,trombmi01,7.0,3,3,1,0,2,3,0,3.26,26,87,55,35,5,15,15,6,2,0,70,0.349,1.51,2.4,1992-09-17,1.0,1967-04-14,8024,0.0
17545,zitoba01,5.1,5,5,7,6,4,5,1,4.41,26,110,62,28,7,27,10,6,2,0,33,-0.318,0.94,-3.1,2007-06-15,1.0,1978-05-13,9180,0.0
54633,reedri01,7.0,6,6,2,1,0,5,0,4.1,27,94,64,39,4,21,8,14,4,0,64,0.111,0.53,2.2,2002-08-23,1.0,1964-08-16,11997,0.0
106243,sanchjo01,4.2,2,2,3,3,6,6,0,3.81,23,94,49,20,8,21,7,3,0,0,48,-0.19,0.8,-1.6,2011-06-24,1.0,1982-11-19,9023,0.0
18540,dempsry01,5.1,7,7,2,2,3,2,0,4.11,25,96,60,35,6,19,9,11,7,0,45,-0.066,1.45,-0.6,2013-06-30,1.0,1977-05-03,11410,0.0
7192,thompma01,6.0,11,11,4,3,1,4,1,2.78,29,-1,-1,-1,-1,-1,12,12,8,0,39,-0.119,0.88,-0.7,1996-05-06,1.0,1971-04-07,7915,0.0
121746,blackni01,6.2,6,6,3,2,0,6,1,3.71,27,84,58,35,4,19,11,10,5,0,58,-0.206,0.97,0.0,2008-09-03,1.0,1982-02-24,8370,0.0
28897,maddugr01,6.1,9,9,4,4,2,5,0,3.76,30,104,62,39,10,13,11,12,7,0,42,-0.083,1.4,-0.3,1991-04-25,1.0,1966-04-14,7898,0.0
44928,peacobr01,6.2,4,4,3,3,4,4,2,5.57,28,105,62,35,8,19,7,13,4,0,54,-0.065,0.73,-0.0,2014-05-07,1.0,1988-02-02,8286,0.0
78433,hernali01,9.0,8,8,3,3,2,4,0,4.5,35,126,84,52,6,26,19,10,3,0,61,0.15,1.06,1.6,1998-06-20,1.0,1975-02-20,7362,0.0
35071,pineijo01,6.0,9,9,3,3,3,3,0,4.11,28,109,60,31,3,26,9,12,6,0,42,-0.064,1.12,0.1,2003-05-13,1.0,1978-09-25,7772,0.0
44568,gomezje01,4.2,10,10,8,8,2,5,2,4.47,27,87,53,31,4,18,10,9,5,0,15,-0.372,0.62,-5.8,2011-09-27,1.0,1988-02-10,7456,0.0
37770,freemma02,7.0,7,7,5,5,1,4,2,4.91,28,80,62,42,7,13,15,8,0,0,46,-0.132,0.61,-0.5,1996-06-17,1.0,1963-04-10,10473,0.0
1804,washbja01,6.0,10,10,4,4,0,1,0,4.13,27,101,65,43,4,18,11,15,5,0,37,-0.139,0.83,-0.7,2008-04-19,1.0,1974-08-13,10629,0.0
94797,eilanda01,4.1,5,5,4,4,3,3,0,4.66,21,83,52,35,8,9,10,5,2,0,37,-0.259,1.12,-2.0,1993-04-30,1.0,1966-07-05,8463,0.0
58631,estessh01,4.0,9,9,7,7,2,4,4,15.75,22,77,48,25,5,18,3,13,5,0,18,-0.352,0.36,-5.1,2001-04-06,1.0,1973-02-18,8876,0.0
91262,liebejo01,5.0,10,10,6,6,1,4,2,6.94,26,78,51,30,8,13,9,11,4,0,26,-0.298,0.94,-3.4,1998-04-21,1.0,1970-04-02,8852,0.0
89590,buchada01,5.0,5,5,2,2,0,2,0,3.6,20,66,44,29,1,14,11,7,5,0,51,0.076,0.86,0.2,2014-05-24,1.0,1989-05-11,7900,0.0
38631,millwke01,7.1,10,10,1,1,0,3,0,4.19,31,88,69,47,10,12,17,11,4,0,57,0.258,1.08,3.1,2001-08-16,1.0,1974-12-24,8408,0.0
44389,bondeje01,8.0,3,3,1,1,1,8,1,5.03,28,114,70,40,9,21,13,6,3,0,79,0.213,0.65,3.1,2010-09-08,1.0,1982-10-28,8792,0.0
14584,chenwe02,8.0,8,8,3,2,0,7,0,2.78,31,102,78,49,12,17,10,14,8,0,63,-0.022,0.86,1.0,2015-07-12,1.0,1985-07-21,9459,0.0
60933,kendrky01,7.0,3,3,1,1,5,1,0,6.7,28,98,58,36,7,15,11,11,3,0,63,0.176,0.94,2.1,2015-05-17,1.0,1984-08-26,9694,0.0
47232,wolfra02,6.0,7,7,5,5,2,5,2,6.0,27,97,67,36,7,24,6,13,6,0,41,-0.302,1.02,-2.1,2005-04-12,1.0,1976-08-22,9037,0.0
22177,reedri01,4.0,3,3,1,1,0,2,1,3.71,14,45,27,17,2,8,5,7,2,0,54,0.103,0.89,1.2,2002-09-20,1.0,1964-08-16,12021,0.0
14255,hollade01,6.2,10,10,5,3,3,7,1,3.19,35,125,80,45,17,18,11,14,8,0,42,-0.188,1.24,-1.9,2013-07-08,1.0,1986-10-09,8440,0.0
5521,hudsoda01,5.0,6,6,2,2,1,3,0,5.48,20,83,52,30,13,9,9,7,2,0,49,-0.022,1.28,0.4,2012-05-27,1.0,1987-03-09,7958,0.0
113825,hellije01,6.1,8,8,5,5,1,2,1,7.11,28,94,64,40,7,17,14,11,5,0,38,-0.459,0.74,-2.9,2013-04-03,1.0,1987-04-08,8201,0.0
39087,eatonad01,5.2,9,9,4,4,4,2,0,4.63,29,98,60,36,9,15,9,14,5,0,33,0.052,0.79,-1.3,2004-07-20,1.0,1977-11-23,8411,0.0
12018,maysjo01,5.1,8,8,4,4,1,3,1,3.82,25,91,62,35,9,18,10,10,3,0,38,-0.138,1.18,-0.9,1999-08-17,1.0,1975-12-10,7474,0.0
19149,peterad01,6.0,6,6,4,4,1,2,2,4.19,24,76,47,37,3,7,5,16,5,0,45,0.135,0.76,-0.5,1990-06-26,1.0,1965-12-11,7744,0.0
63084,eldreca01,9.0,3,3,0,0,1,8,0,4.73,30,108,68,39,8,21,10,11,5,0,88,0.6,1.15,5.0,1997-05-30,1.0,1967-11-24,9313,0.0
92010,anderji02,3.0,8,8,5,5,0,0,0,5.07,19,55,34,23,0,11,8,10,7,0,23,-0.288,1.07,-3.5,2002-08-13,1.0,1976-01-22,8380,0.0
93578,lylesjo01,4.0,9,9,7,7,0,6,2,5.4,22,87,59,35,6,18,6,10,1,0,22,-0.361,0.81,-4.8,2012-07-02,1.0,1990-10-19,6848,0.0
43996,loopebr01,6.0,7,7,4,4,1,3,3,4.22,25,95,66,39,5,22,11,10,2,0,44,0.047,0.85,-0.7,2008-06-24,1.0,1974-10-28,10621,0.0
3349,telemam01,3.1,5,5,6,6,1,1,1,3.92,16,53,32,22,4,6,4,10,3,0,26,-0.292,0.94,-4.2,1998-09-15,1.0,1974-01-19,7780,0.0
41508,keyji01,5.2,8,8,7,6,3,4,1,3.73,28,122,71,42,9,20,11,10,1,0,28,-0.314,0.65,-4.7,1992-08-07,1.0,1961-04-22,9875,0.0
29300,brownto05,7.0,6,6,3,3,0,4,0,4.87,28,90,60,34,8,18,7,17,4,0,57,-0.016,0.77,0.5,1993-07-17,1.0,1960-04-28,10482,0.0
60564,capuach01,3.0,5,5,2,2,0,0,2,3.72,13,39,22,15,3,4,4,9,2,0,41,-0.134,0.84,-1.0,2012-10-02,1.0,1978-08-19,10768,0.0
62380,ruffibr01,0.0,3,3,4,4,2,0,0,6.65,5,17,7,4,1,2,2,1,0,0,26,-0.315,1.48,-3.8,1992-07-12,1.0,1963-10-04,9079,0.0
5640,rodriwa01,2.1,2,2,2,1,0,0,0,1.0,10,38,27,18,1,8,7,3,2,0,47,-0.004,0.92,-0.1,2013-04-08,1.0,1979-01-18,10799,0.0
12114,hudsoti01,7.1,1,1,0,0,4,5,0,4.43,26,112,59,28,13,18,13,4,1,0,77,0.473,1.07,4.0,2000-05-27,1.0,1975-07-14,7848,0.0
113743,shielja02,7.0,10,10,4,4,0,5,1,4.11,29,100,61,39,6,16,12,12,4,0,46,-0.024,1.17,-0.7,2012-07-03,1.0,1981-12-20,9636,0.0
48418,rasmude01,9.0,9,9,0,0,2,4,0,3.46,35,-1,-1,-1,-1,-1,15,14,8,0,71,0.245,0.58,4.1,1990-06-26,1.0,1959-04-18,9842,0.0
29446,rijojo01,6.0,5,5,2,2,3,8,0,3.34,26,115,72,36,12,24,10,5,4,0,59,0.066,1.06,1.1,1994-06-24,1.0,1965-05-13,9187,0.0
28663,finnebr01,5.0,5,5,5,5,4,4,4,4.71,24,91,53,35,7,11,6,10,3,0,37,-0.18,0.85,-2.6,2016-07-05,1.0,1993-04-14,7329,0.0
54591,ortizra02,2.0,7,7,9,9,2,1,2,3.8,15,44,27,20,2,5,4,8,4,0,5,-0.388,0.73,-7.8,2002-07-14,1.0,1973-05-23,9196,0.0
17644,matsuda01,6.2,4,4,0,0,4,7,0,1.47,27,108,62,29,15,18,6,10,4,0,69,0.342,1.01,3.7,2008-04-08,1.0,1980-09-13,8699,0.0
51167,alberma01,7.0,6,6,2,1,0,6,0,5.71,28,107,74,46,12,16,9,12,3,0,65,0.167,0.93,1.7,2007-08-24,1.0,1983-01-20,7760,0.0
33492,nagych01,8.1,7,7,3,3,2,5,0,2.99,31,110,69,39,12,18,14,10,5,0,60,0.149,1.22,0.7,1992-09-29,1.0,1967-05-05,8017,0.0
47636,wellski01,8.0,2,2,0,0,2,4,0,5.75,28,103,64,34,10,20,15,6,4,0,80,0.167,0.35,4.1,2007-07-18,1.0,1977-04-21,9542,0.0
61527,anderbr04,6.0,5,5,4,3,1,2,0,4.5,23,82,54,33,5,16,10,10,5,0,49,-0.251,1.05,-1.3,2014-04-01,1.0,1988-02-01,8256,0.0
103937,gardnma01,6.0,7,7,2,2,3,2,0,2.98,26,101,59,38,4,17,11,10,5,0,49,0.169,1.26,1.0,1997-05-05,1.0,1962-03-01,11101,0.0
124441,harvema01,8.0,5,5,1,0,1,7,0,2.11,28,99,66,38,10,18,12,8,3,0,76,0.369,1.27,2.6,2013-07-26,1.0,1989-03-27,7678,0.0
113756,masteju01,4.1,7,7,4,4,7,1,0,4.29,26,109,62,43,7,12,12,6,2,0,27,-0.314,0.96,-3.2,2012-07-18,1.0,1985-03-22,8622,0.0
112822,hernafe02,7.2,10,10,7,7,1,7,3,4.7,34,103,74,37,15,22,17,9,5,0,37,-0.635,1.24,-2.9,2006-09-03,1.0,1986-04-08,6439,0.0
18636,lestejo01,4.2,11,11,8,3,4,7,0,2.67,28,118,76,44,14,18,5,12,4,0,23,-0.408,0.93,-4.9,2014-04-22,1.0,1984-01-07,9558,0.0
88827,correke01,3.1,9,9,8,8,3,2,0,4.84,23,76,46,24,6,16,8,9,6,0,9,-0.47,1.01,-5.7,2009-07-23,1.0,1980-08-24,9123,0.0
26538,woodke02,7.2,3,3,1,1,3,11,1,2.96,29,120,76,39,21,16,5,10,1,0,77,0.195,1.14,2.4,2003-06-07,1.0,1977-06-16,8196,0.0
88221,oswalro01,8.0,6,6,1,1,3,8,1,2.84,33,110,79,41,11,27,9,13,4,0,71,0.433,1.61,3.3,2005-09-06,1.0,1977-08-29,8843,0.0
26817,wilsopa02,6.0,8,8,5,5,2,3,0,6.0,28,92,61,45,4,12,11,12,2,0,37,-0.322,1.12,-1.8,2005-04-25,1.0,1973-03-28,10122,0.0
38712,thomsjo01,7.0,9,9,4,4,4,5,1,4.18,33,111,70,48,12,10,14,10,2,0,44,-0.066,0.9,-0.0,2002-05-17,1.0,1973-10-01,9033,0.0
106697,bumgama01,5.0,7,7,4,4,1,5,0,3.25,22,96,57,32,8,17,8,8,4,0,41,-0.216,1.25,-1.9,2014-05-14,1.0,1989-08-01,7820,0.0
111680,alvarwi01,7.0,4,4,3,2,3,5,1,4.01,29,109,65,40,8,17,9,11,1,0,61,0.163,1.05,1.1,1999-08-24,1.0,1970-03-24,9283,0.0
40448,chatwty01,5.2,3,3,2,2,2,3,1,5.49,23,85,52,30,4,18,14,4,1,0,56,0.069,1.02,0.9,2012-09-24,1.0,1989-12-16,7186,0.0
78143,fasseje01,6.0,7,7,1,0,2,9,0,2.77,28,106,69,42,19,8,11,6,5,0,63,0.221,1.14,2.0,1996-07-21,1.0,1963-01-05,10584,0.0
38152,wrighja01,6.2,10,10,4,4,2,0,1,5.88,29,87,48,35,1,12,15,12,5,0,36,-0.026,0.79,-0.5,1998-08-26,1.0,1974-12-24,7470,0.0
67646,nagych01,3.0,7,7,4,4,1,4,1,5.22,17,65,39,20,6,13,6,6,2,0,32,-0.181,1.0,-2.3,1998-09-26,1.0,1967-05-05,9907,0.0
94020,martica04,5.1,7,7,7,7,4,7,1,4.89,25,89,57,25,14,18,6,8,7,0,29,-0.373,1.25,-2.8,2015-05-09,1.0,1991-09-21,7457,0.0
111975,washbja01,6.1,8,8,1,0,1,7,0,3.41,29,99,68,40,14,14,8,12,7,0,61,0.255,1.68,2.2,2001-07-19,1.0,1974-08-13,8499,0.0
86243,martide01,7.0,7,7,5,3,3,3,2,3.92,34,122,73,44,10,19,17,11,1,0,47,-0.254,0.74,-1.6,1993-05-22,1.0,1954-05-14,12314,0.0
86358,greento01,8.1,3,3,0,0,8,6,0,3.31,35,142,83,46,12,25,11,10,2,0,75,0.319,0.92,3.5,1993-09-24,1.0,1967-04-06,8353,0.0
29662,smilejo01,3.2,6,6,7,7,5,1,1,6.0,20,82,42,23,1,18,6,7,2,0,17,-0.288,1.22,-2.7,1996-04-30,1.0,1965-03-17,9821,0.0
65677,fiersmi01,4.0,5,5,4,4,0,5,3,6.62,18,67,42,20,7,15,7,6,3,0,41,-0.237,0.54,-2.2,2013-05-25,1.0,1985-06-15,8817,0.0
2100,gonzaed01,5.0,7,7,5,5,1,1,2,5.51,24,88,56,31,10,15,10,10,1,0,33,-0.233,0.55,-2.3,2009-09-27,1.0,1983-02-23,8392,0.0
99904,spoljpa01,7.0,3,3,2,1,0,6,1,4.95,26,100,65,41,10,14,5,15,3,0,71,0.241,1.06,1.9,1998-08-23,1.0,1970-09-24,8808,0.0
122476,tepesni01,7.0,5,5,6,6,2,6,1,3.92,28,88,52,31,7,14,8,11,7,0,47,-0.228,0.85,-2.5,2013-06-07,1.0,1988-10-12,7779,0.0
58095,clarkma01,6.0,9,9,2,2,0,4,0,4.2,26,98,66,38,7,20,9,13,7,0,50,0.064,1.4,0.9,1997-08-12,1.0,1968-05-12,9230,0.0
32286,cuetojo01,7.2,6,6,3,3,1,6,0,2.63,29,118,74,42,11,21,12,9,3,0,60,0.26,0.64,2.5,2012-06-06,1.0,1986-02-15,8301,0.0
121670,washbja01,6.0,5,5,1,1,3,4,0,6.09,26,104,59,35,6,18,9,10,3,0,59,0.274,1.33,2.1,2008-06-09,1.0,1974-08-13,10673,0.0
92909,maholpa01,8.0,8,8,5,5,2,7,1,5.11,33,121,79,45,10,24,10,15,5,0,51,-0.256,1.12,-1.1,2008-05-25,1.0,1982-06-25,8178,0.0
113828,mcallza01,6.0,6,6,4,2,0,3,0,3.0,25,103,66,35,8,23,9,13,5,0,51,-0.152,0.83,-1.2,2013-04-05,1.0,1987-12-08,7992,0.0
116901,astacpe01,4.1,7,7,6,6,0,3,2,6.04,21,82,56,34,7,15,10,7,2,0,28,-0.374,1.01,-3.5,2005-06-14,1.0,1968-11-28,11531,0.0
63933,wrighja01,5.0,5,5,4,4,4,5,2,6.36,24,93,53,32,7,14,5,9,3,0,42,-0.192,0.94,-1.6,2002-07-13,1.0,1974-12-24,8694,0.0
18261,hugheph01,5.2,8,8,6,6,2,4,1,6.75,27,100,62,36,8,18,5,16,4,0,31,-0.339,1.1,-2.2,2011-08-31,1.0,1986-06-24,7947,0.0
76757,tanakma01,7.0,6,6,3,3,1,6,1,2.11,28,106,68,40,14,14,8,13,4,0,58,-0.007,0.88,0.2,2014-06-22,1.0,1988-11-01,8090,0.0
11675,mussimi01,8.0,7,7,2,2,2,8,1,3.38,33,119,67,39,10,18,13,10,2,0,66,0.152,1.28,2.3,1997-07-18,1.0,1968-12-08,9027,0.0
36243,marcush01,4.0,5,5,6,5,3,7,2,3.44,20,79,51,25,12,14,1,9,1,0,34,-0.261,0.82,-4.1,2010-07-01,1.0,1981-12-14,9008,0.0
110512,westbja01,7.0,8,8,4,4,1,4,2,5.16,29,121,74,45,8,21,17,7,2,0,48,-0.187,1.02,-0.9,2011-06-18,1.0,1977-09-29,10640,0.0
56327,bucknbi02,5.0,2,2,0,0,3,2,0,0.0,19,74,41,28,2,11,7,6,4,0,62,0.294,1.43,2.5,2013-05-25,1.0,1983-08-27,9386,0.0
2379,harenda01,8.0,5,5,1,1,0,6,1,2.81,28,111,77,43,8,26,11,11,2,0,74,0.192,0.39,2.7,2011-08-04,1.0,1980-09-17,9744,0.0
122600,lestejo01,7.0,5,5,4,4,0,7,1,3.1,26,122,80,50,12,18,6,13,5,0,58,-0.105,0.75,-0.8,2014-04-27,1.0,1984-01-07,9562,0.0
51343,moehlbr01,6.0,5,5,2,2,0,0,1,4.16,23,82,49,32,3,14,15,8,3,0,54,0.103,0.94,1.0,2008-09-10,1.0,1971-12-31,11580,0.0
74291,pettian01,5.0,9,9,6,6,3,5,1,5.9,26,111,67,36,13,18,9,9,4,0,27,-0.343,1.17,-3.1,1999-05-11,1.0,1972-06-15,8489,0.0
65061,suppaje01,5.2,6,6,4,4,4,2,0,4.7,27,98,53,37,5,11,12,9,4,0,39,-0.187,1.21,-1.4,2009-07-08,1.0,1975-01-02,10891,0.0
95010,candito01,7.0,5,5,2,2,1,6,0,4.25,27,98,62,37,13,12,10,10,1,0,64,0.105,0.81,1.5,1994-06-21,1.0,1957-08-31,11614,0.0
34661,helliri01,7.0,4,4,1,1,1,3,0,3.71,26,99,63,34,3,26,5,17,4,0,67,0.257,1.15,3.2,2000-08-07,1.0,1970-12-15,9355,0.0
19919,wellsda01,8.0,7,7,3,3,3,4,1,3.02,33,121,76,46,8,22,13,13,5,0,57,0.299,1.14,1.5,1995-07-21,1.0,1963-05-20,10152,0.0
57392,grosske01,8.0,4,4,3,3,0,5,0,3.18,28,104,67,37,11,19,15,8,1,0,67,0.21,1.02,1.0,1992-09-25,1.0,1961-06-08,9877,0.0
62432,eldreca01,8.0,6,6,0,0,2,5,0,1.46,30,123,74,47,9,18,10,13,4,0,73,0.348,0.87,3.8,1992-09-02,1.0,1967-11-24,7818,0.0
86818,schilcu01,9.0,4,4,1,1,0,12,0,3.29,31,113,79,44,14,21,10,9,6,0,87,0.488,1.19,3.6,1997-05-11,1.0,1966-11-14,9621,0.0
21566,snydejo02,6.0,5,5,2,2,1,3,1,1.85,24,102,57,31,3,23,10,9,4,0,56,0.132,0.81,1.6,1999-05-08,1.0,1974-08-16,7802,0.0
57344,martira02,7.0,5,5,2,2,1,4,1,3.72,28,110,68,45,8,15,13,9,4,0,62,0.149,0.45,1.0,1992-08-04,1.0,1968-03-22,7690,0.0
108344,martira02,4.2,7,7,4,4,2,4,1,7.71,22,95,58,37,9,12,6,10,4,0,36,-0.142,1.34,-1.7,1998-03-31,1.0,1968-03-22,9474,0.0
43106,maysjo01,6.0,3,3,0,0,1,2,0,5.17,21,78,51,34,5,12,9,9,2,0,67,0.393,1.08,3.0,2002-09-18,1.0,1975-12-10,8449,0.0
62768,scanlbo01,7.0,8,8,1,1,1,1,1,4.39,28,92,64,46,4,14,14,12,4,0,57,0.274,0.91,3.2,1995-05-31,1.0,1966-08-09,9091,0.0
68115,lohseky01,2.2,7,7,6,4,1,4,1,5.62,17,68,38,22,5,11,1,11,7,0,27,-0.338,0.7,-4.9,2001-09-01,1.0,1978-10-04,7229,0.0
49668,darwida01,6.0,6,6,3,3,1,4,2,4.65,24,88,60,36,9,15,9,10,4,0,51,-0.051,0.86,0.0,1998-07-18,1.0,1955-10-25,13484,0.0
79831,hillsh01,7.0,8,8,2,2,1,5,0,2.89,29,97,60,31,8,21,12,11,3,0,57,0.225,1.02,1.6,2007-04-14,1.0,1981-04-28,8192,0.0
9577,hansoto01,7.2,5,5,1,1,0,3,0,3.41,27,100,68,37,5,26,15,9,4,0,68,0.224,1.23,2.5,2010-09-27,1.0,1986-08-28,7599,0.0
22596,contrjo01,6.0,6,6,2,2,3,1,2,4.26,26,85,51,35,4,12,6,16,4,0,50,0.142,0.75,0.9,2005-07-06,1.0,1971-12-06,10597,0.0
107196,wilsotr01,7.2,2,2,2,2,6,5,0,2.08,30,116,65,41,7,14,12,7,3,0,66,0.221,1.43,2.5,1990-07-14,1.0,1966-06-07,7605,0.0
93458,latosma01,7.0,4,4,2,2,1,7,0,3.87,25,106,65,31,13,21,9,8,4,0,67,0.323,0.69,2.1,2011-08-07,1.0,1987-12-09,7466,0.0
111390,weavelu01,6.0,4,4,1,1,2,7,1,3.6,24,95,59,35,3,21,9,6,4,0,65,0.27,1.09,2.0,2016-08-26,1.0,1993-08-21,7262,0.0
38762,thomsjo01,7.0,6,6,2,2,0,4,1,4.85,25,86,59,37,7,15,9,12,7,0,61,0.3,0.99,2.0,2002-07-06,1.0,1973-10-01,9076,0.0
98900,johnsra05,9.0,4,4,0,0,2,11,0,1.84,31,124,85,38,17,30,8,10,5,0,88,0.712,1.48,4.3,1992-04-11,1.0,1963-09-10,9021,0.0
51499,moehlbr01,5.2,5,5,3,3,3,2,2,5.1,24,89,51,29,6,16,10,9,2,0,46,-0.103,0.89,-0.5,2009-09-07,1.0,1971-12-31,11892,0.0
9778,cuetojo01,4.0,8,8,6,5,2,2,1,1.89,21,82,50,30,4,16,7,10,4,0,24,-0.289,0.62,-4.1,2012-05-15,1.0,1986-02-15,8282,0.0
88916,kendrky01,7.0,6,6,0,0,2,3,0,5.87,27,93,56,35,6,15,12,10,7,0,66,0.385,1.09,3.5,2010-05-05,1.0,1984-08-26,8106,0.0
52286,dicker.01,7.0,9,9,5,5,0,3,1,4.03,30,111,82,48,11,23,8,19,8,0,42,-0.209,0.84,-1.1,2014-08-02,1.0,1974-10-29,12547,0.0
107723,tewksbo01,6.0,9,9,4,4,2,2,0,3.8,29,95,65,42,7,16,13,11,6,0,38,0.043,1.2,-1.1,1993-08-17,1.0,1960-11-30,10323,0.0
114188,warread01,7.0,7,7,3,3,1,7,1,4.5,27,94,59,30,7,22,7,12,5,0,57,-0.012,0.84,0.3,2015-05-13,1.0,1987-08-25,8746,0.0
53481,lirafe01,6.1,8,8,3,3,1,4,1,3.74,27,110,73,44,9,20,5,16,8,0,48,-0.015,0.88,0.3,1995-07-30,1.0,1972-04-26,7339,0.0
39885,lowede01,6.0,4,4,1,1,1,5,1,4.39,22,88,53,31,6,16,10,6,3,0,64,0.259,1.21,2.3,2009-07-10,1.0,1973-06-01,11394,0.0
26738,clemema01,7.0,4,4,4,2,1,10,2,3.03,27,97,61,30,11,20,8,8,3,0,66,-0.051,0.86,-0.3,2004-07-31,1.0,1974-08-12,9457,0.0
