,Name,IP,H,H2,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,WPA,aLI,RE24,GameDate,interceptRow,ageGap,ages,targets
79621,dukeza01,7.0,2,2,0,0,1,5,0,1.87,24,103,69,46,5,18,10,8,3,0,77,0.306,0.78,3.4,2005-08-18,1.0,1983-04-19,7047,1.0
1696,dukeza01,5.1,9,9,1,1,2,2,1,5.44,24,98,62,44,4,14,16,4,1,0,46,0.121,1.05,1.4,2007-06-22,1.0,1983-04-19,7629,1.0
13419,dumatph01,5.0,5,5,5,5,5,3,0,3.84,24,99,53,33,4,16,8,8,6,0,35,-0.189,1.06,-2.3,2008-06-13,1.0,1981-07-12,8495,1.0
23069,dumatph01,5.0,11,11,9,9,0,2,2,4.66,25,102,66,40,5,21,9,14,7,0,11,-0.468,1.03,-5.6,2008-06-19,1.0,1981-07-12,8500,1.0
96349,eatonad01,3.1,8,8,5,5,1,6,0,3.5,21,101,64,40,14,10,6,7,4,0,29,-0.346,0.85,-4.0,2003-04-29,1.0,1977-11-23,8024,1.0
96711,eatonad01,7.0,6,6,0,0,1,9,0,3.18,28,117,79,46,14,19,6,12,4,0,73,0.361,0.98,3.2,2005-06-09,1.0,1977-11-23,8691,1.0
64770,eatonad01,4.1,9,9,6,6,3,3,1,6.09,24,96,58,42,3,13,5,13,5,0,21,-0.285,0.6,-4.1,2007-08-05,1.0,1977-11-23,9371,1.0
54435,elartsc01,0.0,0,0,0,0,0,0,0,6.92,1,5,2,2,0,0,0,0,0,0,50,-0.036,0.91,-0.4,2001-07-08,1.0,1976-02-23,8006,1.0
55234,elartsc01,3.1,9,9,5,5,2,1,0,5.38,21,70,41,27,1,13,5,12,7,0,21,-0.365,1.24,-3.3,2006-07-08,1.0,1976-02-23,9584,1.0
55386,elartsc01,2.0,5,5,6,6,3,0,1,8.54,13,44,24,16,1,7,4,6,2,0,19,-0.402,0.97,-4.7,2007-06-14,1.0,1976-02-23,9878,1.0
34721,eldreca01,4.0,9,9,8,8,3,3,1,18.0,26,85,49,28,10,11,6,11,7,0,12,-0.442,1.12,-5.8,2001-04-04,1.0,1967-11-24,10527,1.0
100343,ellisro02,6.0,8,8,3,3,1,4,2,5.09,27,94,60,35,7,18,6,16,6,0,47,-0.07,0.67,0.1,2001-07-15,1.0,1970-12-15,9650,1.0
33490,embreal01,6.0,7,7,4,4,2,6,2,6.43,28,108,72,40,12,20,8,12,4,0,46,-0.078,0.87,-1.2,1992-09-28,1.0,1970-01-23,7157,1.0
12512,ericksc01,1.2,6,6,6,6,2,1,1,5.32,13,50,32,21,3,8,4,6,3,0,18,-0.381,0.88,-5.5,2002-08-23,1.0,1968-02-02,10904,1.0
116834,escobke01,6.0,3,3,2,2,1,3,1,3.86,22,80,49,25,7,17,7,11,6,0,60,0.282,0.73,1.6,2004-09-28,1.0,1976-04-11,8983,1.0
1327,escobke01,7.1,6,6,3,3,2,5,1,3.1,30,103,65,38,8,19,9,14,2,0,57,0.2,1.15,1.4,2005-05-06,1.0,1976-04-11,9173,1.0
1543,escobke01,7.0,8,8,0,0,0,6,0,3.84,27,103,70,39,17,14,9,12,3,0,67,0.243,0.73,3.9,2006-07-01,1.0,1976-04-11,9536,1.0
1627,escobke01,5.1,3,3,3,2,5,4,1,3.38,25,103,57,29,12,16,9,7,2,0,51,0.084,1.27,0.8,2007-04-03,1.0,1976-04-11,9775,1.0
104675,estessh01,6.2,6,6,3,3,3,3,0,3.67,28,112,62,35,11,16,14,8,5,0,50,0.181,1.27,1.7,2001-08-16,1.0,1973-02-18,8990,1.0
4417,estessh01,2.1,5,5,8,7,3,0,1,4.3,16,73,39,29,1,9,7,6,3,0,14,-0.351,0.76,-5.0,2005-06-30,1.0,1973-02-18,10212,1.0
59429,estessh01,4.1,3,3,3,3,2,4,0,4.8,19,71,40,19,7,14,6,6,1,0,47,-0.24,1.4,-1.4,2005-09-28,1.0,1973-02-18,10290,1.0
97183,estessh01,6.0,3,3,2,2,4,5,0,2.33,25,95,57,29,9,19,12,4,3,0,59,0.018,1.52,0.8,2008-05-23,1.0,1973-02-18,11126,1.0
120655,eyresc01,7.0,6,6,3,3,1,7,2,8.36,26,104,62,32,8,22,8,10,4,0,59,0.15,0.58,1.0,2002-04-11,1.0,1972-05-30,9424,1.0
43828,eyrewi01,4.2,3,3,3,3,3,2,1,3.32,20,69,39,23,5,11,3,12,3,0,45,-0.077,0.87,-0.3,2007-06-26,1.0,1978-07-21,9129,1.0
52945,fettemi01,4.2,4,4,3,3,5,4,0,5.22,24,90,46,22,12,12,10,4,4,0,43,-0.222,1.43,-1.3,1991-09-26,1.0,1964-12-19,8447,1.0
63865,figuene01,6.2,6,6,3,3,2,2,1,4.2,29,91,58,35,5,18,9,16,3,0,50,0.012,1.1,0.0,2002-04-30,1.0,1974-05-18,8820,1.0
34762,finlech01,6.2,7,7,3,3,1,8,1,4.97,28,99,65,30,15,20,8,11,6,0,55,-0.031,1.34,0.6,2001-05-23,1.0,1962-11-26,12146,1.0
34786,finlech01,4.2,4,4,2,2,3,4,0,5.94,21,86,47,31,4,12,5,8,2,0,49,-0.031,0.95,-0.1,2001-06-20,1.0,1962-11-26,12170,1.0
4006,florera01,6.0,7,7,4,4,2,2,0,7.24,27,88,54,30,8,16,9,12,8,0,42,-0.141,0.88,-0.7,2002-09-26,1.0,1975-07-31,8570,1.0
39520,foggjo01,7.0,7,7,2,1,2,3,0,4.91,29,98,61,36,4,21,12,12,7,0,58,0.161,1.07,1.9,2007-05-17,1.0,1976-12-13,9600,1.0
27301,foggjo01,2.0,7,7,9,9,2,3,1,13.09,16,63,41,23,4,14,3,7,2,0,7,-0.398,0.76,-7.4,2008-04-16,1.0,1976-12-13,9890,1.0
72672,foppeje01,6.1,6,6,4,4,3,2,2,5.11,28,102,58,34,10,14,12,10,1,0,44,-0.093,1.02,-0.9,2003-08-15,1.0,1980-07-10,7288,1.0
68680,foppeje01,5.2,5,5,3,2,5,2,1,3.18,26,95,49,31,4,14,6,13,4,0,46,0.005,1.41,0.4,2005-06-14,1.0,1980-07-10,7866,1.0
21765,fordbe01,6.1,5,5,2,2,3,5,0,2.84,26,87,51,26,11,14,7,9,5,0,57,0.024,1.05,0.6,2000-06-23,1.0,1975-08-15,7844,1.0
64103,fordma01,4.1,6,6,4,4,2,0,2,3.7,22,92,58,47,2,9,3,16,3,0,33,-0.267,1.19,-1.7,2003-07-10,1.0,1981-04-08,7022,1.0
120854,fossuca01,5.1,9,9,9,9,2,5,2,5.86,27,93,63,35,5,23,7,13,5,0,17,-0.7,1.17,-5.2,2003-05-31,1.0,1978-01-06,8014,1.0
16944,fossuca01,5.1,6,6,4,0,1,3,0,5.15,23,100,67,40,8,19,7,12,4,0,50,-0.159,0.82,-1.1,2003-08-08,1.0,1978-01-06,8074,1.0
112729,fossuca01,4.0,4,4,2,2,1,2,1,5.19,17,53,33,19,4,10,6,8,4,0,47,0.005,0.84,0.2,2006-05-19,1.0,1978-01-06,8951,1.0
49506,foulkke01,3.1,7,7,6,6,3,1,1,7.38,20,80,45,26,6,13,5,10,7,0,20,-0.248,0.69,-2.9,1997-07-16,1.0,1972-10-19,7807,1.0
55545,francje01,4.1,7,7,7,7,3,3,2,5.65,23,88,56,35,4,17,8,9,3,0,21,-0.413,0.6,-5.1,2008-06-23,1.0,1981-01-08,8664,1.0
100440,frankry01,5.2,3,3,0,0,0,2,0,4.97,20,68,51,25,11,15,6,12,2,0,65,0.286,0.89,2.6,2002-04-23,1.0,1973-03-05,9193,1.0
64161,frankwa01,4.2,9,9,8,3,2,5,0,5.34,26,80,51,33,5,13,8,11,6,0,27,-0.347,0.67,-5.8,2003-09-20,1.0,1974-03-09,9319,1.0
54171,fyhrimi01,6.0,4,4,3,2,2,2,1,5.15,25,107,60,45,7,8,9,12,1,0,54,0.079,1.17,0.6,1999-09-14,1.0,1969-12-09,9392,1.0
121624,gabbaka01,6.0,7,7,2,2,2,2,0,2.41,27,94,57,34,3,20,12,10,5,0,50,0.096,1.34,1.1,2008-04-16,1.0,1982-04-08,8212,1.0
123602,gabbaka01,5.1,6,6,3,3,2,5,1,4.96,24,98,57,28,10,19,14,3,1,0,47,-0.086,1.46,-0.9,2008-06-21,1.0,1982-04-08,8269,1.0
58760,gagneer01,4.0,5,5,4,4,3,3,1,4.97,20,75,44,26,5,13,3,11,5,0,36,-0.217,0.79,-2.1,2001-08-31,1.0,1976-01-07,8093,1.0
84406,gallase01,4.0,4,4,3,3,4,4,0,4.5,19,91,48,26,6,16,1,10,4,0,42,-0.084,1.1,-1.0,2008-08-14,1.0,1985-12-30,7139,1.0
